

--- App Pages ---
                       Page Name            User Type  Page ID                                                                                             PAGE FUNCTION  Priority                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Description / Purpose                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Key Features / Elements (Multi-Depth)  Build Status                                                                                                                                                                                                                                                                                                                                            User Story                                                                                                                                                                                                                                                                        Acceptance Criteria  Test Status                                                                                                                                                       AI Dependencies                                                                                                                                                                                                                                                                                                                                                                           antigravity IDE agent prompt              Unnamed: 13               Unnamed: 14                Unnamed: 15
0      Estimator & Intake Engine               PUBLIC     P-01                                                                        Lead Generation & Ballpark Pricing      High                                                                                                                                                                                                                                    Self-service estimation tool using the Multi-Depth Model. Allows anonymous ballpark pricing (transparency-first), then upsells "Tire Kickers" to "Leads". Functions entirely as an interactive tool wrapped in Omni-Bird telemetry to track friction.                                                                                                                                                                                                                                                                                                                             HERO: "Juggernaut" Address Bar (dead-center input). / LIGHTBOX: 4-Step Roof Configurator (Material, Pitch, Layers, Gutters) with Ungated Price Display. / FULL PAGE: None (Interactive Tool only).         To Do                                                                                                                                                                   As a homeowner, I want to check pricing anonymously from the homepage hero. As an Analytical Owl, I want to use the lightbox to adjust variables and see the math change instantly.                                                                                        Address input on Hero opens Lightbox. Lightbox loads satellite map. Changing toggles updates price instantly. Omni-Bird telemetry JSON fires on every click. Price is visible *before* email input.      Pending                                                                         Google Solar API; Customer Portal (C-01) routing logic; Zustand for global state persistence.                    Agent, build P-01 using the Multi-Depth Model. 1) Build the Hero module: a massive 'Juggernaut' Address Bar. 2) Build the interactive Lightbox: a 4-step configurator using Google Solar API that reveals ballpark pricing without an email. Wrap all interactions in an Omni-Bird telemetry hook. Do not build a static full page for this; it must be a frictionless pop-up tool.                      NaN                       NaN                        NaN
1          About Us / Leadership               PUBLIC     P-02                                                                                  MISSION, VISION & VALUES      High                                                                                                                                                                                                                                              Establishes RHIVE's "Tech-Noir" identity and builds immediate trust. Uses the Multi-Depth Model to allow "Eagle" users to quickly view founders (Lightbox) or allow "Owl" users to deep-dive into corporate values and history (Full Page).                                                                                                                                                                                                                                                                      HERO: Glitch text ("FINISH ON TOP") & Core Mission Statement. / LIGHTBOX: "Founders Card" (Photos of Kara & Michael, direct contact info, Women-Owned status). / FULL PAGE: Brand Manifesto, History (Golden Circle), Core Values, Community Impact data.         To Do                                                                                                                                     As a visitor, I want to quickly see the founders in a lightbox so I know it's not a scam. As a C-Owl customer, I want to read the full page to understand RHIVE's core values and community impact before buying.                                                                                                              Hero glitch text renders correctly. Lightbox opens instantly showing founder contact info. Full page renders Tech-Noir theme with all Golden Circle text matching RHIVE DATA.      Pending                                                                                                   Brand Assets (Logos); Founders' Photos; Next.js Routing for /about.                                                  Agent, build P-02 using the Multi-Depth Model. 1) Build the Hero module: Tech-Noir glitch text and mission statement. 2) Build the Lightbox: A 'Founders Card' with Kara & Michael's info. 3) Build the Full Page (/about): A data-rich Brand Manifesto tailored to the 'Owl' profile detailing our Golden Circle, Core Values, and Community Impact.                      NaN                       NaN                        NaN
2                   Our Services               PUBLIC     P-03                                                                        RESIDENTIAL & COMMERCIAL SOLUTIONS      High                                                                                                                                                                                                                                                      Comprehensive catalog separating Residential vs Commercial. Operates on the "Ghost Link" protocol: it is a public marketing page that instantly morphs into an active Project Vault if accessed via an authenticated Quote QR code.                                                                                                                                                                                                                                                                           HERO: High-level split cards (Residential vs Commercial). / LIGHTBOX: Comparison Matrix (Good/Better/Best). / FULL PAGE: "Ghost Link" architecture. Data-heavy specifications, line-item package breakdowns, and GSAP unrolling membrane animations.         To Do                                                                                                                                                   As a homeowner, I want to read the technical specs on the Full Page. As an authenticated Board Member (via QR), I want to see this same page dynamically highlight the options I am contracted for.                                                                                       Hero split cards link correctly. Full Page utilizes the 'Boardroom Protocol' (Read-only for public, interactive control for Auth users). Includes CSS unrolling membrane/falling granule animations.      Pending                                                                                         Service Icons (Lucide); GSAP for scroll animations; Auth.js context wrappers.                   Agent, build P-03 using the Multi-Depth Model and the 'Ghost Link' protocol. 1) Build the Hero module: two split visual cards. 2) Build the Lightbox: Good/Better/Best comparison. 3) Build the Full Page (/services): detailed specification page. If unauthenticated, it acts as marketing. If authenticated via Quote ID, the same UI becomes the Home Asset Vault control panel.                      NaN                       NaN                        NaN
3                    Our Process               PUBLIC     P-04                                                                            THE 10-STAGE AUTOMATED JOURNEY  Critical                                                                                                                                                                                                                                                                                                                                                        Visualizes the 10-Stage workflow to reassure customers they won't be "ghosted." Reduces anxiety through operational transparency.                                                                                                                                                                                                                                      HERO: Abbreviated 3-step graphic (Intake -> Build -> Trophy Room). / LIGHTBOX: Scrollable vertical timeline summarizing the 10 stages. / FULL PAGE: Granular "Zero Surprises" Protocol detailing AI automation, daily site cleanup mandates, and the final Transferable Warranty package.         To Do                                                                                                                                                     As a customer, I want a quick 3-step overview on the Hero, a 10-stage summary in the Lightbox, and the full "Zero Surprises" operational breakdown on the Full Page so I can trust the execution.                                                                                                                             All 10 stages match RHIVE DATA exact naming. Vertical layout is mobile responsive. GSAP animations trigger on scroll. Omni-Bird telemetry tracks scroll depth.      Pending                                                                                                                            Workflow Diagram Data; GSAP ScrollTrigger.                        Agent, build P-04 using the Multi-Depth Model. 1) Build the Hero module: a clean 3-step abbreviated graphic. 2) Build the Lightbox: a quick vertical 10-stage timeline. 3) Build the Full Page (/process): a deep-dive operational page using GSAP ScrollTrigger to draw a vertical neon-pink line as the user scrolls, detailing the 'Zero Surprises' protocol and automation.                      NaN                       NaN                        NaN
4                      Financing               PUBLIC     P-05                                                                                 CAPITAL & PAYMENT OPTIONS      High                                                                                                                                                                                                                                                                                                                                                 Details the payment schedule (50/40/10) and financing partnerships. Critical for setting expectations about money before the sales call.                                                                                                                                                                                                                                                         HERO: 50/40/10 Payment Matrix graphic & "See Financing" button. / LIGHTBOX: Mini sliding-scale payment calculator (monthly estimate). / FULL PAGE: Capital Hub explaining the 50/40/10 protection logic, lender specs (APR/pull type), and a secure Prequalify bridge.         To Do                                                                                                                                                    As a customer, I want to quickly see the 50/40/10 structure on the Hero, calculate a monthly payment estimate in the Lightbox, and read the lender specs and prequalify securely on the Full Page.                                                                                                                              Payment schedule matches RHIVE DATA (50/40/10). "Right to Rescission" explicitly mentioned. Calculator slider mathematically computes rough monthly payments.      Pending                                                                                                        Financing Partner Link/API; Math logic for sliding calculator.  Agent, build P-05 using the Multi-Depth Model. 1) Build the Hero module: a visual 50/40/10 Payment Matrix graphic. 2) Build the Lightbox: a sliding-scale calculator for estimated monthly payments wrapped in Omni-Bird telemetry. 3) Build the Full Page (/financing): a comprehensive Capital Hub detailing lender specs, the 'Right to Rescission', and an embedded secure prequalification form.                      NaN                       NaN                        NaN
5               Contact & Triage               PUBLIC     P-06                                                                                      DIRECTORY & LEAD GEN      High                                                                                                                                                                                                                                                                                           The primary conversion point for non-quote inquiries. Functions as a routing engine rather than a static page, using the Multi-Depth Model to triage users to the right department or Founder.                                                                                                                                                                                                                                                               HERO: "Direct Access" Map module with a quick "Message Us" button. / LIGHTBOX: The Omni-Bird Triage Form (routes dynamically to emergency, sales, or support). / FULL PAGE: Complete directory with interactive Google Map, Zoho form, and direct Founder lines.         To Do                                                                                                                                                                                                   As a user, I want a quick way to message from the Hero, triage my emergency in the Lightbox, or find full corporate info and maps on the Full Page.                                                                                                                                           Map loads correctly. Triage form correctly routes leads based on selection. Zoho form integration works perfectly. JSON payload fires on submit.      Pending                                                                                                        Google Maps API; Zoho Forms Integration; Triage Routing Logic.                         Agent, build P-06 using the Multi-Depth Model. 1) Build the Hero module: a clean map view with a quick 'Message' CTA. 2) Build the Lightbox: an Omni-Bird Triage form that asks 'Nature of inquiry' and dynamically routes to emergency or standard sales. 3) Build the Full Page (/contact): a comprehensive corporate directory with Google Maps and Zoho forms integration.                      NaN                       NaN                        NaN
6                          Login               PUBLIC     P-07                                                                            User authentication and access      High                                                                                                                                                                                                                                                                                       Single login portal for all user types. Uses the Multi-Depth Model to enforce the "Boardroom Protocol," allowing instant, frictionless access directly over "Ghost Links" without navigating away.                                                                                                                                                                                                                                                                                           HERO: Global Nav "Login" trigger. / LIGHTBOX: Tech-Noir SMS/Biometric quick-login pop-up (prevents leaving the current page). / FULL PAGE: Distraction-free, highly secure login page with reCAPTCHA v3, 2FA setup, and legal links.         To Do                                                                                                                                                                  As a user, I want to click login in the nav and instantly authenticate via a SMS lightbox without losing my place on the site. As a secure user, I want the full page for 2FA setup.                                                                                                                             SMS authentication sends and verifies code correctly. Biometric prompt works. Successful Auth instantly unlocks "Read-Only" Ghost Links into "Control" states.      Pending                                                                                         Twilio (SMS); NextAuth / Auth.js; WebAuthn (Biometrics); Google reCAPTCHA v3.                           Agent, build P-07 using the Multi-Depth Model. 1) Build the Hero module: a global nav login trigger. 2) Build the Lightbox: a sleek SMS/Biometric quick-login modal that powers the 'Boardroom Protocol' by authenticating users without redirecting them. 3) Build the Full Page (/login): a highly secure, distraction-free authentication hub supporting 2FA and Auth.js.                      NaN                       NaN                        NaN
7                 Password Reset               PUBLIC     P-08                                                                                   Secure Account Recovery      High                                                                                                                                                                                                                                                                                                                                                                         Secure account recovery designed to prevent enumeration attacks while offering speed for employees in the field.                                                                                                                                                                                                                                                                                                                               HERO: N/A (Accessed via Login). / LIGHTBOX: "Ghost" logic reset prompt (Phone/Email toggle). / FULL PAGE: Dedicated recovery page with invisible reCAPTCHA and auto-login upon successful reset.         To Do                                                                                                                                                                                                    As a field worker, I want to quickly reset my password via an SMS lightbox so I can get back to work on the roof without digging through my email.                                                                                                                                        Toggle switches smoothly between Phone/Email. System never reveals if user is missing ("Ghost" logic). Auto-logins upon successful password change.      Pending                                                                                                                       Twilio API; SendGrid/SMTP; Auth Security Logic.                                                                  Agent, build P-08 using the Multi-Depth Model. 1) Build the Lightbox: a quick account recovery modal accessed from the login screen with 'Ghost' security logic. 2) Build the Full Page (/reset): a secure recovery flow that defaults to SMS, uses reCAPTCHA v3, and automatically provisions a session token upon successful reset.                      NaN                       NaN                        NaN
8              Contractor Signup      PUBLIC / Vendor     P-09                                                                               Vendor Onboarding & Vetting    Medium                                                                                                                                                                                                                                                                                                                                     Public application with strict vetting. Uses the Multi-Depth Model to prevent spam while capturing necessary legal documents for "Pending" approval.                                                                                                                                                                                                                                                                                                                                               HERO: "Partner With Us" CTA module. / LIGHTBOX: Dual Auth Gate (SMS + Email verification). / FULL PAGE: Vetting Wizard (License, W9, WC uploads) & "Pending Approval" dashboard.         To Do                                                                                                                                                                                                         As a legitimate contractor, I want to verify my identity in the Lightbox so I can securely submit my confidential documents on the Full Page.                                                                                                                                                          Dual Auth Gate prevents access until verified. Uploaded docs lock profile into "Pending" status. Admin notification is triggered.      Pending                                                                                Twilio API (SMS); SendGrid (Email); Cloud Storage (AWS S3/GCS) for secure doc uploads.                           Agent, build P-09 using the Multi-Depth Model. 1) Build the Hero module: a 'Join the Network' CTA. 2) Build the Lightbox: a strict Dual Auth Gate requiring SMS and Email verification before proceeding. 3) Build the Full Page (/contractor-signup): a multi-step Vetting Wizard for document uploads that locks the user into a 'Pending Approval' state upon submission.                      NaN                       NaN                        NaN
9                 Public Careers               PUBLIC     P-10                                                                             Recruitment & Brand Manifesto    Medium                                                                                                                                                                                                                                                                                                                                      Sells the "Revolution" vision to attract top-tier talent. Multi-Depth allows quick job browsing or a deep dive into company culture and innovation.                                                                                                                                                                                                                                                                                                               HERO: "Join the Hive" video/banner. / LIGHTBOX: Interactive Benefits Grid & Filterable Open Positions board. / FULL PAGE: Brand Manifesto detailing the "Service Industry Revolution" and employee testimonials.         To Do                                                                                                                                                                                                        As top talent, I want to browse open jobs quickly in the Lightbox or read the Full Page manifesto to see how RHIVE is innovating the industry.                                                                                                                                                                            Job list pulls dynamically from the HR database. Filter works by Dept/Location. "Apply" links directly to P-11.      Pending                                                                                                           HR Database API / CMS integration for dynamic job listings.                                                              Agent, build P-10 using the Multi-Depth Model. 1) Build the Hero module: a high-energy 'Join the Hive' video banner. 2) Build the Lightbox: a filterable Open Positions board and interactive Benefits Grid. 3) Build the Full Page (/careers): a deep-dive Brand Manifesto explaining our mission to revolutionize the service industry.                      NaN                       NaN                        NaN
